ID;Tipo;Cliente/Fornecedor;Valor (R$);Vencimento;Status;Dias Vencido
TIT001;RECEBER;Cliente A;1500.00;13/05/2026;Pendente;-29
TIT002;PAGAR;Fornecedor B;800.00;20/04/2026;Pendente;-7
TIT003;RECEBER;Cliente C;3200.00;13/04/2026;Pago;0
TIT004;PAGAR;Fornecedor D;2500.00;25/04/2026;Pendente;-12
TIT005;RECEBER;Cliente E;2800.00;20/04/2026;Pendente;-7
TIT006;PAGAR;Fornecedor F;450.00;15/04/2026;Vencido;+2
TIT007;RECEBER;Cliente G;1200.00;30/04/2026;Pendente;-17
TIT008;PAGAR;Fornecedor H;1200.00;10/05/2026;Pendente;-27
TIT009;RECEBER;Cliente I;4500.00;05/05/2026;Pendente;-22
TIT010;PAGAR;Fornecedor J;5000.00;01/05/2026;Pendente;-18
